Month,CPI,importPrice
14-May,1.5,98.7
14-Jun,1.9,96.5
14-Jul,1.6,95.8
14-Aug,1.5,95.5
14-Sep,1.2,95.7
14-Oct,1.3,95.3
14-Nov,1,95.2
14-Dec,0.5,93.5
15-Jan,0.3,92.2
15-Feb,0,91.3
15-Mar,0,92
15-Apr,-0.1,92.3
15-May,0.1,91.7
15-Jun,0,90.8
15-Jul,0.1,90
15-Aug,0,89.5
15-Sep,-0.1,90.1
15-Oct,-0.1,89.4
15-Nov,0.1,87.9
15-Dec,0.2,89
16-Jan,0.3,89.1
16-Feb,0.3,89.8
16-Mar,0.5,90.6
16-Apr,0.3,91.5
16-May,0.3,90.8
16-Jun,0.5,92.5
16-Jul,0.6,95.2
16-Aug,0.6,95.3
16-Sep,1,94.9
16-Oct,0.9,97.8
